Txn ID,Date,Customer ID,City,State,Category,Payment Mode,Amount (₹),Returned
TXN-00001,2024-02-18,CUST-1272,Hyderabad,Telangana,Personal Care,Debit Card,636,0
TXN-00002,2023-03-30,CUST-1183,Kolkata,West Bengal,Apparel,Debit Card,867,0
TXN-00003,2024-09-30,CUST-1443,Hyderabad,Telangana,Personal Care,UPI,330,0
TXN-00004,2024-01-18,CUST-1945,Kolkata,West Bengal,Books & Media,Cash,2019,0
TXN-00005,2024-11-07,CUST-2387,Chennai,Tamil Nadu,Electronics,UPI,3152,0
TXN-00006,2023-03-31,CUST-1015,Chennai,Tamil Nadu,Personal Care,UPI,2061,0
TXN-00007,2024-03-11,CUST-1946,Chennai,Tamil Nadu,Electronics,Net Banking,996,0
TXN-00008,2024-06-15,CUST-1442,Ahmedabad,Gujarat,Electronics,Net Banking,1217,0
TXN-00009,2023-06-14,CUST-2030,Ahmedabad,Gujarat,Sports,Debit Card,1414,0
TXN-00010,2024-11-07,CUST-2400,Mumbai,Maharashtra,Electronics,UPI,935,0
TXN-00011,2024-03-05,CUST-2264,Kolkata,West Bengal,Food & Grocery,Debit Card,1138,0
TXN-00012,2023-01-06,CUST-1113,Chennai,Tamil Nadu,Personal Care,UPI,2522,0
TXN-00013,2024-10-17,CUST-1258,Ahmedabad,Gujarat,Electronics,UPI,2346,0
TXN-00014,2023-12-29,CUST-2471,Ahmedabad,Gujarat,Sports,Cash,3452,0
TXN-00015,2024-09-06,CUST-1197,Bengaluru,Karnataka,Books & Media,Debit Card,5931,0
TXN-00016,2023-05-02,CUST-1298,Pune,Maharashtra,Electronics,UPI,726,0
TXN-00017,2023-08-01,CUST-1527,Chennai,Tamil Nadu,Home & Living,Credit Card,5130,0
TXN-00018,2023-05-01,CUST-1589,Chennai,Tamil Nadu,Books & Media,UPI,2668,0
TXN-00019,2023-01-12,CUST-1689,Mumbai,Maharashtra,Home & Living,UPI,1925,0
TXN-00020,2024-02-13,CUST-1371,Kolkata,West Bengal,Personal Care,Credit Card,1281,0
TXN-00021,2023-02-08,CUST-2340,Kolkata,West Bengal,Apparel,Credit Card,1862,0
TXN-00022,2023-08-20,CUST-1642,Pune,Maharashtra,Sports,UPI,2581,0
TXN-00023,2023-08-12,CUST-1164,Hyderabad,Telangana,Books & Media,UPI,2907,0
TXN-00024,2024-03-24,CUST-2402,Pune,Maharashtra,Personal Care,UPI,1232,0
TXN-00025,2023-11-25,CUST-1525,Ahmedabad,Gujarat,Books & Media,Debit Card,615,0
TXN-00026,2024-03-17,CUST-1326,Kolkata,West Bengal,Apparel,Net Banking,1226,0
TXN-00027,2023-10-17,CUST-1404,Ahmedabad,Gujarat,Personal Care,UPI,829,0
TXN-00028,2023-12-20,CUST-1395,Chennai,Tamil Nadu,Food & Grocery,Credit Card,1973,0
TXN-00029,2024-11-11,CUST-1853,Bengaluru,Karnataka,Sports,Credit Card,3715,0
TXN-00030,2024-12-24,CUST-1818,Kolkata,West Bengal,Electronics,Cash,3025,0
TXN-00031,2023-01-04,CUST-2376,Hyderabad,Telangana,Food & Grocery,UPI,791,0
TXN-00032,2023-06-21,CUST-1853,Ahmedabad,Gujarat,Home & Living,Net Banking,1813,0
TXN-00033,2024-04-24,CUST-1215,Pune,Maharashtra,Home & Living,UPI,2280,1
TXN-00034,2023-11-11,CUST-1756,Mumbai,Maharashtra,Food & Grocery,Net Banking,3126,0
TXN-00035,2024-07-24,CUST-1808,Pune,Maharashtra,Sports,UPI,490,0
TXN-00036,2024-02-13,CUST-1267,Bengaluru,Karnataka,Books & Media,UPI,2227,0
TXN-00037,2024-04-02,CUST-1366,Kolkata,West Bengal,Books & Media,UPI,2070,0
TXN-00038,2024-01-04,CUST-2433,Hyderabad,Telangana,Apparel,UPI,3211,0
TXN-00039,2024-01-27,CUST-1975,Ahmedabad,Gujarat,Electronics,Debit Card,3044,0
TXN-00040,2024-11-11,CUST-2071,Delhi,Delhi,Electronics,Debit Card,1307,0
TXN-00041,2023-01-16,CUST-2341,Chennai,Tamil Nadu,Food & Grocery,Credit Card,1813,0
TXN-00042,2023-01-05,CUST-1847,Pune,Maharashtra,Home & Living,Debit Card,2251,0
TXN-00043,2023-09-25,CUST-1074,Bengaluru,Karnataka,Electronics,Debit Card,4871,1
TXN-00044,2023-02-18,CUST-1899,Hyderabad,Telangana,Apparel,Debit Card,2657,0
TXN-00045,2023-02-28,CUST-1992,Kolkata,West Bengal,Sports,UPI,279,0
TXN-00046,2023-06-25,CUST-1405,Pune,Maharashtra,Apparel,Credit Card,1790,0
TXN-00047,2024-07-26,CUST-1166,Chennai,Tamil Nadu,Electronics,Credit Card,2314,0
TXN-00048,2024-11-25,CUST-1177,Bengaluru,Karnataka,Food & Grocery,Credit Card,5865,0
TXN-00049,2023-02-03,CUST-2468,Kolkata,West Bengal,Books & Media,UPI,1216,0
TXN-00050,2023-08-26,CUST-1701,Bengaluru,Karnataka,Home & Living,UPI,415,1
TXN-00051,2024-10-02,CUST-1300,Hyderabad,Telangana,Personal Care,UPI,626,0
TXN-00052,2024-05-23,CUST-1198,Mumbai,Maharashtra,Sports,UPI,2236,0
TXN-00053,2023-08-30,CUST-1164,Ahmedabad,Gujarat,Home & Living,Credit Card,293,0
TXN-00054,2023-06-15,CUST-1641,Bengaluru,Karnataka,Books & Media,Credit Card,802,0
TXN-00055,2024-08-26,CUST-1271,Kolkata,West Bengal,Food & Grocery,UPI,2006,0
TXN-00056,2023-01-12,CUST-1148,Pune,Maharashtra,Apparel,UPI,362,0
TXN-00057,2023-02-11,CUST-1685,Bengaluru,Karnataka,Apparel,Debit Card,3286,0
TXN-00058,2024-11-10,CUST-1464,Mumbai,Maharashtra,Apparel,UPI,864,0
TXN-00059,2024-07-15,CUST-1818,Mumbai,Maharashtra,Electronics,Credit Card,9269,0
TXN-00060,2024-03-05,CUST-1111,Hyderabad,Telangana,Home & Living,UPI,1737,0
TXN-00061,2023-08-06,CUST-1890,Pune,Maharashtra,Electronics,UPI,6408,0
TXN-00062,2023-01-05,CUST-1368,Mumbai,Maharashtra,Home & Living,Cash,757,0
TXN-00063,2024-10-06,CUST-2187,Mumbai,Maharashtra,Apparel,Net Banking,1585,0
TXN-00064,2024-03-16,CUST-1810,Mumbai,Maharashtra,Electronics,Net Banking,4038,1
TXN-00065,2024-04-01,CUST-1270,Bengaluru,Karnataka,Food & Grocery,Debit Card,872,0
TXN-00066,2024-05-04,CUST-2173,Delhi,Delhi,Home & Living,UPI,559,0
TXN-00067,2024-05-11,CUST-1355,Delhi,Delhi,Electronics,UPI,823,0
TXN-00068,2023-05-18,CUST-1343,Hyderabad,Telangana,Personal Care,UPI,5092,0
TXN-00069,2024-10-29,CUST-2407,Delhi,Delhi,Home & Living,UPI,1672,0
TXN-00070,2024-12-22,CUST-1513,Kolkata,West Bengal,Personal Care,Debit Card,563,0
TXN-00071,2023-11-28,CUST-2285,Chennai,Tamil Nadu,Books & Media,Debit Card,4760,0
TXN-00072,2023-01-31,CUST-1102,Kolkata,West Bengal,Food & Grocery,UPI,11933,0
TXN-00073,2024-11-09,CUST-1522,Bengaluru,Karnataka,Apparel,UPI,1902,0
TXN-00074,2023-01-11,CUST-1326,Pune,Maharashtra,Home & Living,UPI,674,0
TXN-00075,2023-12-19,CUST-1405,Bengaluru,Karnataka,Personal Care,Credit Card,964,0
TXN-00076,2024-04-08,CUST-1160,Mumbai,Maharashtra,Food & Grocery,UPI,465,0
TXN-00077,2024-01-24,CUST-1501,Chennai,Tamil Nadu,Food & Grocery,Net Banking,5238,0
TXN-00078,2024-07-05,CUST-1454,Delhi,Delhi,Electronics,UPI,8993,0
TXN-00079,2023-12-18,CUST-1001,Pune,Maharashtra,Home & Living,Credit Card,2297,0
TXN-00080,2024-03-20,CUST-2488,Kolkata,West Bengal,Food & Grocery,UPI,829,0
TXN-00081,2024-01-14,CUST-2145,Kolkata,West Bengal,Personal Care,Debit Card,1092,0
TXN-00082,2024-10-22,CUST-1559,Chennai,Tamil Nadu,Apparel,Credit Card,3506,0
TXN-00083,2024-06-27,CUST-1667,Delhi,Delhi,Electronics,Net Banking,7759,0
TXN-00084,2024-09-27,CUST-1497,Pune,Maharashtra,Food & Grocery,Cash,2964,0
TXN-00085,2023-08-06,CUST-1536,Ahmedabad,Gujarat,Personal Care,Debit Card,2224,0
TXN-00086,2023-03-21,CUST-2012,Kolkata,West Bengal,Books & Media,UPI,6311,1
TXN-00087,2024-12-21,CUST-2043,Kolkata,West Bengal,Personal Care,Credit Card,1085,0
TXN-00088,2023-08-29,CUST-1426,Delhi,Delhi,Home & Living,Cash,6894,0
TXN-00089,2023-03-11,CUST-2219,Pune,Maharashtra,Home & Living,Debit Card,1336,0
TXN-00090,2023-03-29,CUST-1265,Mumbai,Maharashtra,Sports,UPI,3188,0
TXN-00091,2024-02-24,CUST-2185,Kolkata,West Bengal,Electronics,Cash,1639,0
TXN-00092,2023-01-19,CUST-2367,Delhi,Delhi,Food & Grocery,Credit Card,2858,0
TXN-00093,2024-10-17,CUST-1587,Mumbai,Maharashtra,Food & Grocery,Net Banking,2064,0
TXN-00094,2023-07-07,CUST-1362,Bengaluru,Karnataka,Books & Media,Credit Card,3129,0
TXN-00095,2024-12-23,CUST-1857,Delhi,Delhi,Personal Care,UPI,6445,0
TXN-00096,2024-01-31,CUST-1622,Delhi,Delhi,Sports,UPI,1361,0
TXN-00097,2023-09-14,CUST-1071,Bengaluru,Karnataka,Books & Media,Credit Card,5427,0
TXN-00098,2024-09-11,CUST-1595,Delhi,Delhi,Books & Media,UPI,4222,0
TXN-00099,2024-09-04,CUST-2027,Hyderabad,Telangana,Personal Care,Cash,1686,0
TXN-00100,2023-11-10,CUST-1377,Ahmedabad,Gujarat,Books & Media,UPI,2475,0
TXN-00101,2024-04-15,CUST-2029,Bengaluru,Karnataka,Apparel,UPI,2282,0
TXN-00102,2023-08-24,CUST-2138,Chennai,Tamil Nadu,Home & Living,Debit Card,944,0
TXN-00103,2024-03-21,CUST-1818,Bengaluru,Karnataka,Books & Media,Debit Card,3986,0
TXN-00104,2024-08-17,CUST-1937,Delhi,Delhi,Books & Media,UPI,2554,0
TXN-00105,2023-04-20,CUST-1494,Mumbai,Maharashtra,Food & Grocery,UPI,2068,0
TXN-00106,2023-11-02,CUST-1635,Delhi,Delhi,Electronics,UPI,930,0
TXN-00107,2023-06-27,CUST-1051,Hyderabad,Telangana,Books & Media,UPI,5335,0
TXN-00108,2023-08-12,CUST-2328,Kolkata,West Bengal,Apparel,UPI,1601,1
TXN-00109,2023-09-14,CUST-2439,Chennai,Tamil Nadu,Personal Care,UPI,233,0
TXN-00110,2023-11-29,CUST-2286,Hyderabad,Telangana,Sports,Cash,2037,0
TXN-00111,2024-06-19,CUST-2236,Kolkata,West Bengal,Home & Living,Credit Card,147,0
TXN-00112,2023-12-22,CUST-2093,Bengaluru,Karnataka,Home & Living,Credit Card,2721,0
TXN-00113,2023-11-11,CUST-1262,Mumbai,Maharashtra,Food & Grocery,Debit Card,461,0
TXN-00114,2024-03-22,CUST-2142,Delhi,Delhi,Food & Grocery,Debit Card,2325,0
TXN-00115,2023-10-27,CUST-2410,Chennai,Tamil Nadu,Books & Media,UPI,1329,0
TXN-00116,2023-04-13,CUST-1867,Pune,Maharashtra,Sports,UPI,482,0
TXN-00117,2023-07-23,CUST-1972,Bengaluru,Karnataka,Sports,UPI,710,0
TXN-00118,2024-02-05,CUST-1772,Kolkata,West Bengal,Personal Care,UPI,3923,0
TXN-00119,2023-09-23,CUST-1129,Hyderabad,Telangana,Food & Grocery,Net Banking,1165,0
TXN-00120,2023-09-26,CUST-1641,Delhi,Delhi,Sports,Cash,1752,0
TXN-00121,2024-08-30,CUST-1565,Delhi,Delhi,Electronics,Debit Card,2457,0
TXN-00122,2024-02-22,CUST-1265,Bengaluru,Karnataka,Electronics,Credit Card,937,0
TXN-00123,2023-10-22,CUST-1291,Mumbai,Maharashtra,Sports,Debit Card,1290,0
TXN-00124,2023-09-10,CUST-1786,Bengaluru,Karnataka,Personal Care,UPI,2279,0
TXN-00125,2023-04-05,CUST-1979,Chennai,Tamil Nadu,Books & Media,UPI,3897,0
TXN-00126,2024-10-28,CUST-2039,Ahmedabad,Gujarat,Food & Grocery,Cash,2037,0
TXN-00127,2023-02-08,CUST-1727,Ahmedabad,Gujarat,Electronics,Credit Card,1414,1
TXN-00128,2024-07-28,CUST-1082,Chennai,Tamil Nadu,Electronics,Credit Card,2741,0
TXN-00129,2023-03-08,CUST-1923,Hyderabad,Telangana,Food & Grocery,Credit Card,1156,0
TXN-00130,2023-07-27,CUST-1443,Ahmedabad,Gujarat,Sports,Debit Card,3105,0
TXN-00131,2023-02-15,CUST-1377,Hyderabad,Telangana,Home & Living,UPI,2886,0
TXN-00132,2023-05-09,CUST-2479,Ahmedabad,Gujarat,Books & Media,UPI,493,0
TXN-00133,2023-02-03,CUST-2166,Mumbai,Maharashtra,Apparel,Debit Card,438,0
TXN-00134,2024-02-07,CUST-1278,Chennai,Tamil Nadu,Books & Media,Net Banking,366,0
TXN-00135,2023-10-19,CUST-1065,Chennai,Tamil Nadu,Home & Living,Credit Card,1979,0
TXN-00136,2023-12-04,CUST-1849,Chennai,Tamil Nadu,Home & Living,Debit Card,3346,0
TXN-00137,2024-11-23,CUST-1162,Bengaluru,Karnataka,Apparel,Debit Card,2350,0
TXN-00138,2024-02-03,CUST-2241,Kolkata,West Bengal,Sports,Credit Card,1933,0
TXN-00139,2023-11-07,CUST-1062,Mumbai,Maharashtra,Personal Care,Debit Card,4946,0
TXN-00140,2024-12-20,CUST-2458,Hyderabad,Telangana,Apparel,UPI,2242,0
TXN-00141,2023-01-19,CUST-1734,Hyderabad,Telangana,Electronics,UPI,700,0
TXN-00142,2024-02-15,CUST-1318,Pune,Maharashtra,Electronics,UPI,223,0
TXN-00143,2024-07-14,CUST-2289,Ahmedabad,Gujarat,Personal Care,UPI,4110,0
TXN-00144,2023-11-23,CUST-2263,Bengaluru,Karnataka,Sports,UPI,7769,0
TXN-00145,2023-02-19,CUST-1956,Kolkata,West Bengal,Home & Living,Debit Card,5328,0
TXN-00146,2023-08-06,CUST-1676,Delhi,Delhi,Home & Living,Credit Card,1434,0
TXN-00147,2024-03-09,CUST-1131,Chennai,Tamil Nadu,Home & Living,UPI,346,0
TXN-00148,2023-04-02,CUST-1500,Hyderabad,Telangana,Electronics,Credit Card,1423,0
TXN-00149,2024-12-30,CUST-2484,Hyderabad,Telangana,Personal Care,UPI,2831,0
TXN-00150,2023-02-27,CUST-1536,Ahmedabad,Gujarat,Food & Grocery,UPI,861,0
TXN-00151,2024-03-24,CUST-2304,Mumbai,Maharashtra,Apparel,Net Banking,18284,0
TXN-00152,2024-03-14,CUST-1345,Kolkata,West Bengal,Home & Living,UPI,1477,0
TXN-00153,2024-09-29,CUST-1278,Ahmedabad,Gujarat,Electronics,Debit Card,4465,0
TXN-00154,2024-05-10,CUST-1997,Ahmedabad,Gujarat,Personal Care,UPI,1837,0
TXN-00155,2024-09-03,CUST-1200,Pune,Maharashtra,Home & Living,Debit Card,2063,0
TXN-00156,2024-05-10,CUST-1023,Ahmedabad,Gujarat,Food & Grocery,UPI,762,0
TXN-00157,2024-01-26,CUST-1258,Chennai,Tamil Nadu,Personal Care,Credit Card,819,0
TXN-00158,2023-05-05,CUST-1000,Kolkata,West Bengal,Home & Living,Net Banking,1245,0
TXN-00159,2023-04-26,CUST-1519,Hyderabad,Telangana,Electronics,UPI,8712,0
TXN-00160,2023-01-21,CUST-1079,Mumbai,Maharashtra,Apparel,Net Banking,2095,0
TXN-00161,2023-07-17,CUST-1376,Hyderabad,Telangana,Electronics,UPI,6746,0
TXN-00162,2024-04-17,CUST-1691,Ahmedabad,Gujarat,Apparel,UPI,957,0
TXN-00163,2023-09-07,CUST-2191,Mumbai,Maharashtra,Apparel,Debit Card,4714,0
TXN-00164,2023-02-12,CUST-1578,Hyderabad,Telangana,Books & Media,Credit Card,2321,0
TXN-00165,2024-01-13,CUST-2339,Bengaluru,Karnataka,Apparel,Credit Card,7773,0
TXN-00166,2023-11-05,CUST-1058,Ahmedabad,Gujarat,Books & Media,Debit Card,5703,1
TXN-00167,2023-09-19,CUST-1057,Delhi,Delhi,Home & Living,UPI,3594,0
TXN-00168,2024-03-10,CUST-1007,Chennai,Tamil Nadu,Sports,Credit Card,2514,0
TXN-00169,2023-06-29,CUST-1552,Chennai,Tamil Nadu,Apparel,UPI,1868,0
TXN-00170,2023-11-24,CUST-1472,Pune,Maharashtra,Sports,UPI,3113,0
TXN-00171,2024-11-12,CUST-1167,Delhi,Delhi,Apparel,UPI,9325,0
TXN-00172,2024-11-28,CUST-1452,Delhi,Delhi,Electronics,UPI,1262,0
TXN-00173,2023-09-09,CUST-1812,Bengaluru,Karnataka,Food & Grocery,Debit Card,2861,0
TXN-00174,2023-06-21,CUST-1772,Mumbai,Maharashtra,Books & Media,Cash,1559,0
TXN-00175,2023-10-03,CUST-2372,Bengaluru,Karnataka,Personal Care,UPI,1379,0
TXN-00176,2023-01-24,CUST-1724,Mumbai,Maharashtra,Sports,UPI,918,0
TXN-00177,2024-04-25,CUST-2184,Mumbai,Maharashtra,Electronics,UPI,366,0
